,Nome,Partido,Estado
5,Alan Rick,DEM,Acre
6,Dra. Vanda Milani,SD,Acre
7,Flaviano Melo,MDB,Acre
8,Jéssica Sales,MDB,Acre
9,Jesus Sérgio,PDT,Acre
10,Mara Rocha,PSDB,Acre
11,Pastor Manuel Marcos,PRB,Acre
12,Perpetua Almeida,PC do B,Acre
14,Arthur Lira,PP,Alagoas
15,Isnaldo Bulhões,MDB,Alagoas
16,JHC,PSB,Alagoas
17,Marx Beltrão,PSD,Alagoas
18,Nivaldo Albuquerque,PTB,Alagoas
19,Paulão,PT,Alagoas
20,Sérgio Toledo,PR,Alagoas
21,Severino Pessôa,PRB,Alagoas
22,Tereza Nelma,PSDB,Alagoas
24,Acácio Favacho,PROS,Amapá
25,Aline Gurgel,PRB,Amapá
26,Andre Abdon,PP,Amapá
27,Camilo Capiberibe,PSB,Amapá
28,Leda Sadala,AVANTE,Amapá
29,Luiz Carlos,PSDB,Amapá
30,Professora Marcivania,PC do B,Amapá
31,Vinícius,PR,Amapá
33,Atila Lins,PP,Amazonas
34,Bosco Saraiva,SD,Amazonas
35,Capitão Alberto Neto,PRB,Amazonas
36,Delegado Pablo,PSL,Amazonas
37,José Ricardo,PT,Amazonas
38,Marcelo Ramos,PR,Amazonas
39,Sidney Leite,PSD,Amazonas
40,Silas Câmara,PRB,Amazonas
42,Adolfo Viana,PSDB,Bahia
43,Afonso Florence,PT,Bahia
44,Alex Santana,PDT,Bahia
45,Alice Portugal,PC do B,Bahia
46,Antonio Brito,PSD,Bahia
47,Arthur Maia,DEM,Bahia
48,Bacelar,PODE,Bahia
49,Cacá Leão,PP,Bahia
50,Charles Fernandes,PSD,Bahia
51,Claudio Cajado,PP,Bahia
52,Daniel Almeida,PC do B,Bahia
53,Elmar,DEM,Bahia
54,Felix Mendonça,PDT,Bahia
55,Igor Kannario,PHS,Bahia
56,João Bacelar,PR,Bahia
57,João Roma,PRB,Bahia
58,Jorge Solla,PT,Bahia
59,José Nunes,PSD,Bahia
60,Jose Rocha,PR,Bahia
61,Josias Gomes,PT,Bahia
62,Leur Lomanto Jr,DEM,Bahia
63,Lídice da Mata,PSB,Bahia
64,Marcelo Nilo,PSB,Bahia
65,Marcio Marinho,PRB,Bahia
66,Mário Negromonte Jr,PP,Bahia
67,Otto Alencar Filho,PSD,Bahia
68,Pastor Abílio Santana,PHS,Bahia
69,Pastor Sargento Isidório,AVANTE,Bahia
70,Paulo Azi,DEM,Bahia
71,Pelegrino,PT,Bahia
72,Prof. Dayane Pimentel,PSL,Bahia
73,Raimundo Costa,PRP,Bahia
74,Ronaldo Carletto,PP,Bahia
75,Sérgio Brito,PSD,Bahia
76,Tito,AVANTE,Bahia
77,Uldúrico Júnior,PPL,Bahia
78,Valmir Assunção,PT,Bahia
79,Waldenor Pereira,PT,Bahia
80,Zé Neto,PT,Bahia
82,Aj Albuquerque,PP,Ceará
83,André Figueiredo,PDT,Ceará
84,Capitão Wagner,PROS,Ceará
85,Celio Studart,PV,Ceará
86,Denis Bezerra,PSB,Ceará
87,Domingos Neto,PSD,Ceará
88,Dr. Jaziel,PR,Ceará
89,Eduardo Bismarck,PDT,Ceará
90,Genecias Noronha,SD,Ceará
91,Guimarães,PT,Ceará
92,Heitor Freire,PSL,Ceará
93,Idilvan,PDT,Ceará
94,Jose Airton,PT,Ceará
95,Júnior Mano,PATRI,Ceará
96,Leonidas Cristino,PDT,Ceará
97,Luizianne,PT,Ceará
98,Mauro Filho,PDT,Ceará
99,Moses Rodrigues,MDB,Ceará
100,Pedro Bezerra,PTB,Ceará
101,Robério Monteiro,PDT,Ceará
102,Roberto Pessoa,PSDB,Ceará
103,Vaidon Oliveira,PROS,Ceará
105,Bia Kicis,PRP,Distrito federal
106,Celina Leão,PP,Distrito federal
107,Erika Kokay,PT,Distrito federal
108,Flavia Arruda,PR,Distrito federal
109,Julio Cesar,PRB,Distrito federal
110,Luis Miranda,DEM,Distrito federal
111,Paula Belmonte,PPS,Distrito federal
112,Professor Israel,PV,Distrito federal
114,Amaro Neto,PRB,Espírito santo
115,Da Vitória,PPS,Espírito santo
116,Dra. Soraya Manato,PSL,Espírito santo
117,Evair de Melo,PP,Espírito santo
118,Felipe Rigoni,PSB,Espírito santo
119,Foletto,PSB,Espírito santo
120,Helder Salomão,PT,Espírito santo
121,Lauriete,PR,Espírito santo
122,Norma Ayub,DEM,Espírito santo
123,Sergio Vidigal,PDT,Espírito santo
125,Adriano do Baldy,PP,Goiás
126,Alcides Rodrigues,PRP,Goiás
127,Célio Silveira,PSDB,Goiás
128,Delegado Waldir,PSL,Goiás
129,Dr. Zacarias Calil,DEM,Goiás
130,Elias Vaz,PSB,Goiás
131,Flavia Morais,PDT,Goiás
132,Francisco Jr,PSD,Goiás
133,Glaustin da Fokus,PSC,Goiás
134,João Campos,PRB,Goiás
135,José Nelto,PODE,Goiás
136,Lucas Vergílio,SD,Goiás
137,Magda Mofatto,PR,Goiás
138,Major Vitor Hugo,PSL,Goiás
139,Professor Alcides,PP,Goiás
140,Rubens Otoni,PT,Goiás
141,Zé Mario,DEM,Goiás
143,Aluisio Mendes,PODE,Maranhão
144,Andre Fufuca,PP,Maranhão
145,Bira do Pindaré,PSB,Maranhão
146,Cleber Verde,PRB,Maranhão
147,Edilazio,PSD,Maranhão
148,Eduardo Braide,PMN,Maranhão
149,Gil Cutrim,PDT,Maranhão
150,Hildo Rocha,MDB,Maranhão
151,João Marcelo,MDB,Maranhão
152,Josimar Maranhãozinho,PR,Maranhão
153,Junior Lourenço,PR,Maranhão
154,Junior Marreca Filho,PATRI,Maranhão
