,Nome,Partido,Estado,twitter
0,Alan Rick,DEM,Acre,Alan_Rick
1,Dra. Vanda Milani,SD,Acre,Vandamilani1
2,Flaviano Melo,MDB,Acre,Flaviano_Melo
3,Jéssica Sales,MDB,Acre,3
4,Jesus Sérgio,PDT,Acre,jesussergioac
5,Mara Rocha,PSDB,Acre,mararocha4545
6,Pastor Manuel Marcos,PRB,Acre,6
7,Perpetua Almeida,PC do B,Acre,perpetua_acre
8,Arthur Lira,PP,Alagoas,ArthurLira_
9,Isnaldo Bulhões,MDB,Alagoas,bulhoesjr
10,JHC,PSB,Alagoas,10
11,Marx Beltrão,PSD,Alagoas,marxbeltrao
12,Nivaldo Albuquerque,PTB,Alagoas,NivaldoAlbuque
13,Paulão,PT,Alagoas,paulaodopt
14,Sérgio Toledo,PR,Alagoas,depsergiotoledo
15,Severino Pessôa,PRB,Alagoas,15
16,Tereza Nelma,PSDB,Alagoas,terezanelmaal
17,Acácio Favacho,PROS,Amapá,AcacioFavacho
18,Aline Gurgel,PRB,Amapá,18
19,Andre Abdon,PP,Amapá,19
20,Camilo Capiberibe,PSB,Amapá,20
21,Leda Sadala,AVANTE,Amapá,21
22,Luiz Carlos,PSDB,Amapá,deputadoHauly
23,Professora Marcivania,PC do B,Amapá,profmarcivania
24,Vinícius,PR,Amapá,viniciuscirq
25,Atila Lins,PP,Amazonas,25
26,Bosco Saraiva,SD,Amazonas,boscosaraiva
27,Capitão Alberto Neto,PRB,Amazonas,27
28,Delegado Pablo,PSL,Amazonas,DelegadoPablo_
29,José Ricardo,PT,Amazonas,ricardotripoli
30,Marcelo Ramos,PR,Amazonas,marceloramosam
31,Sidney Leite,PSD,Amazonas,sidneyleite_
32,Silas Câmara,PRB,Amazonas,silascamara_
33,Adolfo Viana,PSDB,Bahia,AdolfoViana_
34,Afonso Florence,PT,Bahia,34
35,Alex Santana,PDT,Bahia,depalexsantana
36,Alice Portugal,PC do B,Bahia,36
37,Antonio Brito,PSD,Bahia,37
38,Arthur Maia,DEM,Bahia,DepArthurMaia
39,Bacelar,PODE,Bahia,DeputadoBacelar
40,Cacá Leão,PP,Bahia,CacaLeao
41,Charles Fernandes,PSD,Bahia,Charles_Federal
42,Claudio Cajado,PP,Bahia,deputadocajado
43,Daniel Almeida,PC do B,Bahia,AngeloAlmeida_
44,Elmar,DEM,Bahia,ElmarNascimento
45,Felix Mendonça,PDT,Bahia,FelixMendoncaJr
46,Igor Kannario,PHS,Bahia,46
47,João Bacelar,PR,Bahia,47
48,João Roma,PRB,Bahia,48
49,Jorge Solla,PT,Bahia,depjorgesolla
50,José Nunes,PSD,Bahia,JoseNunesDep
51,Jose Rocha,PR,Bahia,dep_joserocha
52,Josias Gomes,PT,Bahia,josiasgomesba
53,Leur Lomanto Jr,DEM,Bahia,LeurLomantoJr
54,Lídice da Mata,PSB,Bahia,lidicedamata
55,Marcelo Nilo,PSB,Bahia,depmarcelonilo
56,Marcio Marinho,PRB,Bahia,dpmarciomarinho
57,Mário Negromonte Jr,PP,Bahia,depnegromontejr
58,Otto Alencar Filho,PSD,Bahia,OttoAlencarFilh
59,Pastor Abílio Santana,PHS,Bahia,59
60,Pastor Sargento Isidório,AVANTE,Bahia,60
61,Paulo Azi,DEM,Bahia,PauloAzi
62,Pelegrino,PT,Bahia,nelsonpelegrino
63,Prof. Dayane Pimentel,PSL,Bahia,63
64,Raimundo Costa,PRP,Bahia,raimundocostaba
65,Ronaldo Carletto,PP,Bahia,65
66,Sérgio Brito,PSD,Bahia,66
67,Tito,AVANTE,Bahia,Serginhodopt
68,Uldúrico Júnior,PPL,Bahia,ulduricojr
69,Valmir Assunção,PT,Bahia,ValmirAssuncao
70,Waldenor Pereira,PT,Bahia,waldenorpereira
71,Zé Neto,PT,Bahia,ZeLinscn
72,Aj Albuquerque,PP,Ceará,72
73,André Figueiredo,PDT,Ceará,andrepdt12
74,Capitão Wagner,PROS,Ceará,capitao_wagner
75,Celio Studart,PV,Ceará,CelioStudart
76,Denis Bezerra,PSB,Ceará,denisbezerra
77,Domingos Neto,PSD,Ceará,Domingos_Neto
78,Dr. Jaziel,PR,Ceará,jaziel_dr
79,Eduardo Bismarck,PDT,Ceará,eduardobismarck
80,Genecias Noronha,SD,Ceará,DepGenecias
81,Guimarães,PT,Ceará,ranypaulino
82,Heitor Freire,PSL,Ceará,82
83,Idilvan,PDT,Ceará,IdilvanAlencar
84,Jose Airton,PT,Ceará,JoseAirtonPT
85,Júnior Mano,PATRI,Ceará,JuniorManoDep
86,Leonidas Cristino,PDT,Ceará,joseleonidas
87,Luizianne,PT,Ceará,87
88,Mauro Filho,PDT,Ceará,deputadomaurobf
89,Moses Rodrigues,MDB,Ceará,DepFederalMoses
90,Pedro Bezerra,PTB,Ceará,PedroABezerra
91,Robério Monteiro,PDT,Ceará,91
92,Roberto Pessoa,PSDB,Ceará,92
93,Vaidon Oliveira,PROS,Ceará,93
94,Bia Kicis,PRP,Distrito federal,94
95,Celina Leão,PP,Distrito federal,95
96,Erika Kokay,PT,Distrito federal,erikakokay
97,Flavia Arruda,PR,Distrito federal,FlaviaArrudaDF
98,Julio Cesar,PRB,Distrito federal,DepJulioCesarPI
99,Luis Miranda,DEM,Distrito federal,luismiranda136
100,Paula Belmonte,PPS,Distrito federal,100
101,Professor Israel,PV,Distrito federal,ProfIsrael
102,Amaro Neto,PRB,Espírito santo,amaronetotv
103,Da Vitória,PPS,Espírito santo,103
104,Dra. Soraya Manato,PSL,Espírito santo,DraManato
105,Evair de Melo,PP,Espírito santo,105
106,Felipe Rigoni,PSB,Espírito santo,rigoni_felipe
107,Foletto,PSB,Espírito santo,DeputadoFoletto
108,Helder Salomão,PT,Espírito santo,RenatoLaures1
109,Lauriete,PR,Espírito santo,109
110,Norma Ayub,DEM,Espírito santo,110
111,Sergio Vidigal,PDT,Espírito santo,111
112,Adriano do Baldy,PP,Goiás,112
113,Alcides Rodrigues,PRP,Goiás,113
114,Célio Silveira,PSDB,Goiás,csilveira4599
115,Delegado Waldir,PSL,Goiás,delegado_waldir
116,Dr. Zacarias Calil,DEM,Goiás,116
